time,tp,tp_anom,tp_anom_std
1940-01-01,117.68900314335006,19.6399987706952,0.4174367135443432
1940-02-01,126.16629696062606,7.004247775382652,0.12425358985829235
1940-03-01,147.06072917111234,-27.994831493270596,-0.5963935951596979
1940-04-01,142.05606173681718,-25.538790716638346,-0.6151780245885253
1940-05-01,129.47811336091542,-7.800685042596001,-0.22319448001433964
1940-06-01,68.97444392728436,-39.700702968424764,-1.0151509724748573
1940-07-01,117.75636948745081,9.45668159562058,0.21937280645071555
1940-08-01,141.40195626668142,-0.6330256592572141,-0.01831218866528348
1940-09-01,205.8150467660079,28.903856823000496,0.907158846283638
1940-10-01,206.61257735584155,-2.855241830927355,-0.07488218168857011
1940-11-01,202.49019171847362,2.1438457410406784,0.04934892270430109
1940-12-01,107.78615056059574,-16.85926524141776,-0.36111506295054846
1941-01-01,79.79619609436962,-18.252808278285244,-0.3879527890811914
1941-02-01,131.23261169095505,12.07056250571165,0.2141287360242821
1941-03-01,106.30192556627561,-68.75363509810732,-1.464707070171679
1941-04-01,111.04055597950455,-56.554296473950984,-1.3622790825476672
1941-05-01,120.60106909717261,-16.677729306338804,-0.47718592662336584
1941-06-01,87.07739648240758,-21.59775041330154,-0.5522566528046101
1941-07-01,105.11614293200644,-3.1835449598237915,-0.07385076733703282
1941-08-01,117.81099231065613,-24.223989615282505,-0.7007524285531018
1941-09-01,148.3015814510466,-28.609608491960813,-0.8979237473782755
1941-10-01,177.37913170278205,-32.08868748398686,-0.841564767052751
1941-11-01,185.42760320711184,-14.918742770321103,-0.34341271376201943
1941-12-01,69.89142350223639,-54.75399229977711,-1.1727967436892353
1942-01-01,79.07680070065703,-18.972203671997832,-0.4032431183931464
1942-02-01,92.64062284202666,-26.521426343216746,-0.4704834176325141
1942-03-01,151.73408252524607,-23.32147813913687,-0.49683386003525465
1942-04-01,143.3567045198198,-24.23814793363573,-0.5838481598811257
1942-05-01,136.60930699147949,-0.6694914120319311,-0.019155598100241325
1942-06-01,120.57776657248144,11.902619676772318,0.30435118364235897
1942-07-01,81.94613110738447,-26.353556784445757,-0.6113406328959493
1942-08-01,105.4843669863008,-36.55061493963784,-1.0573374820100538
1942-09-01,146.13347588116892,-30.77771406183848,-0.9659705883045786
1942-10-01,218.9931325676868,9.525313380917908,0.249812901837039
1942-11-01,128.10799399308922,-72.23835198434372,-1.662845782286083
1942-12-01,121.19273514516445,-3.4526806568490542,-0.07395429011242828
1943-01-01,71.13447077712729,-26.914533595527573,-0.5720527064115571
1943-02-01,39.96853207544276,-79.19351710980064,-1.4048730299035215
1943-03-01,146.90814617015457,-28.14741449422837,-0.5996441782011904
1943-04-01,116.9586076862037,-50.636244767251824,-1.2197251378940515
1943-05-01,125.08009368252415,-12.198704720987266,-0.3490313404761099
1943-06-01,15.770993359261535,-92.90415353644758,-2.3755685606999797
1943-07-01,4.163388757858183,-104.13629913397205,-2.4157176027783476
1943-08-01,179.62048641047224,37.5855044845336,1.0872748033756643
1943-09-01,168.2431152887666,-8.668074654240797,-0.2720509117864236
1943-10-01,174.50546593653175,-34.96235325023716,-0.916930138801556
1943-11-01,298.72793990718395,98.381593929751,2.264633868670264
1943-12-01,135.01274971912972,10.367333917116213,0.22206189810167237
1944-01-01,87.09780770022807,-10.95119667242679,-0.23276129503310403
1944-02-01,44.94732897832435,-74.21472020691905,-1.3165504279343776
1944-03-01,172.2183666444917,-2.8371940198912284,-0.060442740728597316
1944-04-01,183.21442101637072,15.619568562915191,0.3762439435787036
1944-05-01,153.08848493053694,15.80968652702552,0.452349344233346
1944-06-01,96.24736686290811,-12.42778003280101,-0.3177795868258435
1944-07-01,68.7588254886591,-39.54086240317113,-0.9172551562783167
1944-08-01,114.77929028372841,-27.255691642210223,-0.788453612039354
1944-09-01,109.73730595601944,-67.17388398698796,-2.108278610401069
1944-10-01,193.02890980101608,-16.438909385752822,-0.43113034631678554
1944-11-01,137.6260807478065,-62.72026522962645,-1.4437501083019246
1944-12-01,81.11663021343607,-43.528785588577435,-0.932359739460283
1945-01-01,58.59603720011239,-39.45296717254247,-0.8385497956676312
1945-02-01,56.50303185640088,-62.65901732884252,-1.1115551719151302
1945-03-01,179.62325995785514,4.567699293472202,0.09730891232180233
1945-04-01,155.21094859907927,-12.383903854376257,-0.2983032984747448
1945-05-01,161.89355771490287,24.614759311391452,0.7042815310686898
1945-06-01,43.928774946505456,-64.74637194920366,-1.6555712502302031
1945-07-01,87.13960038557478,-21.16008750625545,-0.4908643411595546
1945-08-01,116.12326256288367,-25.91171936305497,-0.7495751344027912
1945-09-01,166.71030935377405,-10.20088058923335,-0.32015862530298295
1945-10-01,207.34949644417455,-2.1183227425943585,-0.05555558438791195
1945-11-01,190.2566194705297,-10.089726506903247,-0.23225417947048949
1945-12-01,49.85692864773533,-74.78848715427817,-1.6019232665220413
1946-01-01,66.40083562477737,-31.64816874787749,-0.6726633594052478
1946-02-01,104.90280104100408,-14.259248144239322,-0.2529554675134455
1946-03-01,168.6014100294614,-6.454150634921547,-0.13749731273747384
1946-04-01,181.6285054355851,14.033652982129581,0.3380424318087573
1946-05-01,133.62872792103775,-3.650070482473666,-0.10443641537926811
1946-06-01,79.18019516156296,-29.494951734146156,-0.7541888857693816
1946-07-01,117.73742473325738,9.437736841427153,0.21893333264027706
1946-08-01,143.1989551196266,1.1639731936879514,0.033671457724410415
1946-09-01,208.0981302441076,31.186940301100208,0.9788143138098284
1946-10-01,239.43290639432624,29.965087207557332,0.7858707729360266
1946-11-01,183.97246789163137,-16.37387808580158,-0.3769082954791474
