mem,time,pr
r1i1p1f2,1940-01-01,13.271461974363774
r1i1p1f2,1940-02-01,18.76251260546269
r1i1p1f2,1940-03-01,23.019317124271765
r1i1p1f2,1940-04-01,44.60551677038893
r1i1p1f2,1940-05-01,40.79215601377655
r1i1p1f2,1940-06-01,11.448351593571715
r1i1p1f2,1940-07-01,6.980930344434455
r1i1p1f2,1940-08-01,48.4590929816477
r1i1p1f2,1940-09-01,66.42318377271295
r1i1p1f2,1940-10-01,142.40266158012673
r1i1p1f2,1940-11-01,125.07672049105167
r1i1p1f2,1940-12-01,13.651070916967
r1i1p1f2,1941-01-01,0.7594021069962764
r1i1p1f2,1941-02-01,3.198036090179812
r1i1p1f2,1941-03-01,20.482203672872856
r1i1p1f2,1941-04-01,79.62674635928124
r1i1p1f2,1941-05-01,85.3524046135135
r1i1p1f2,1941-06-01,16.916431894060224
r1i1p1f2,1941-07-01,3.6893184351356467
r1i1p1f2,1941-08-01,47.45705798850395
r1i1p1f2,1941-09-01,77.46611855691299
r1i1p1f2,1941-10-01,143.69863781612366
r1i1p1f2,1941-11-01,75.9979470167309
r1i1p1f2,1941-12-01,20.68843950983137
r1i1p1f2,1942-01-01,21.47684299852699
r1i1p1f2,1942-02-01,6.678365851985291
r1i1p1f2,1942-03-01,80.82050717202947
r1i1p1f2,1942-04-01,136.21334347408265
r1i1p1f2,1942-05-01,90.09523935383186
r1i1p1f2,1942-06-01,1.3534908975998405
r1i1p1f2,1942-07-01,1.7275386160690687
r1i1p1f2,1942-08-01,64.69328955863602
r1i1p1f2,1942-09-01,112.40389582235366
r1i1p1f2,1942-10-01,102.7104064822197
r1i1p1f2,1942-11-01,89.12164997309446
r1i1p1f2,1942-12-01,18.202994637249503
r1i1p1f2,1943-01-01,5.6504830143239815
r1i1p1f2,1943-02-01,17.08329882239923
r1i1p1f2,1943-03-01,17.39597043633694
r1i1p1f2,1943-04-01,17.469635931774974
r1i1p1f2,1943-05-01,69.34782938333228
r1i1p1f2,1943-06-01,30.270159157225862
r1i1p1f2,1943-07-01,36.35484808764886
r1i1p1f2,1943-08-01,26.77312749729026
r1i1p1f2,1943-09-01,99.2483583977446
r1i1p1f2,1943-10-01,210.2141019422561
r1i1p1f2,1943-11-01,195.18434791825712
r1i1p1f2,1943-12-01,24.272892507724464
r1i1p1f2,1944-01-01,3.4941690959385596
r1i1p1f2,1944-02-01,0.9340549278931576
r1i1p1f2,1944-03-01,22.002556567895226
r1i1p1f2,1944-04-01,64.43367566680536
r1i1p1f2,1944-05-01,13.323286456579808
r1i1p1f2,1944-06-01,6.568489356141072
r1i1p1f2,1944-07-01,17.537084936338942
r1i1p1f2,1944-08-01,22.29957446688786
r1i1p1f2,1944-09-01,111.92158854100853
r1i1p1f2,1944-10-01,152.3326460039243
r1i1p1f2,1944-11-01,175.1230505760759
r1i1p1f2,1944-12-01,29.264787799911574
r1i1p1f2,1945-01-01,1.6673028105287813
r1i1p1f2,1945-02-01,5.8090791455470026
r1i1p1f2,1945-03-01,66.66801560204476
r1i1p1f2,1945-04-01,31.60467732232064
r1i1p1f2,1945-05-01,53.600621432997286
r1i1p1f2,1945-06-01,5.457509083498735
r1i1p1f2,1945-07-01,1.9474906026516692
r1i1p1f2,1945-08-01,12.499086085881572
r1i1p1f2,1945-09-01,88.00389803946018
r1i1p1f2,1945-10-01,143.2732748799026
r1i1p1f2,1945-11-01,124.09922503866255
r1i1p1f2,1945-12-01,12.859012224362232
r1i1p1f2,1946-01-01,0.32856557600098313
r1i1p1f2,1946-02-01,20.057008741423488
r1i1p1f2,1946-03-01,68.03053335752338
r1i1p1f2,1946-04-01,62.410965794697404
r1i1p1f2,1946-05-01,106.0202356427908
r1i1p1f2,1946-06-01,16.400097752921283
r1i1p1f2,1946-07-01,9.173396190453786
r1i1p1f2,1946-08-01,55.47393231536262
r1i1p1f2,1946-09-01,88.44230091199279
r1i1p1f2,1946-10-01,114.14708032971248
r1i1p1f2,1946-11-01,132.08217057399452
r1i1p1f2,1946-12-01,17.343940112914424
r1i1p1f2,1947-01-01,1.5172352837907965
r1i1p1f2,1947-02-01,0.3038857865249156
r1i1p1f2,1947-03-01,121.26107909716666
r1i1p1f2,1947-04-01,86.72212692908943
r1i1p1f2,1947-05-01,170.12360135558993
r1i1p1f2,1947-06-01,21.933444135356694
r1i1p1f2,1947-07-01,4.2705640644271625
r1i1p1f2,1947-08-01,35.22828525456134
r1i1p1f2,1947-09-01,104.88115448970348
r1i1p1f2,1947-10-01,143.3845606748946
r1i1p1f2,1947-11-01,154.8069737618789
r1i1p1f2,1947-12-01,22.588521928992122
r1i1p1f2,1948-01-01,0.6559554059094808
r1i1p1f2,1948-02-01,14.225182197696995
r1i1p1f2,1948-03-01,13.016600110859144
r1i1p1f2,1948-04-01,11.042244062991813
r1i1p1f2,1948-05-01,98.80182057386264
r1i1p1f2,1948-06-01,3.803798452281626
r1i1p1f2,1948-07-01,0.20608735571840953
r1i1p1f2,1948-08-01,9.153217662242241
r1i1p1f2,1948-09-01,57.75812629144639
r1i1p1f2,1948-10-01,168.91784446779639
r1i1p1f2,1948-11-01,116.04575521778315
r1i1p1f2,1948-12-01,53.81995802745223
r1i1p1f2,1949-01-01,1.8592645037642797
r1i1p1f2,1949-02-01,60.145718953572214
r1i1p1f2,1949-03-01,142.18296445906162
r1i1p1f2,1949-04-01,92.14491548482329
r1i1p1f2,1949-05-01,24.15754835237749
r1i1p1f2,1949-06-01,35.46374378493056
r1i1p1f2,1949-07-01,4.672553061755025
r1i1p1f2,1949-08-01,46.890977618750185
r1i1p1f2,1949-09-01,184.3037491198629
