time,pr,mem
1940-01-01,0.4281116765923798,r1i1p1f2
1940-02-01,0.6469831932918169,r1i1p1f2
1940-03-01,0.7425586169119924,r1i1p1f2
1940-04-01,1.4868505590129644,r1i1p1f2
1940-05-01,1.3158760004444048,r1i1p1f2
1940-06-01,0.38161171978572384,r1i1p1f2
1940-07-01,0.22519130143336952,r1i1p1f2
1940-08-01,1.563196547795087,r1i1p1f2
1940-09-01,2.214106125757098,r1i1p1f2
1940-10-01,4.593634244520217,r1i1p1f2
1940-11-01,4.169224016368389,r1i1p1f2
1940-12-01,0.4403571263537742,r1i1p1f2
1941-01-01,0.024496842161170207,r1i1p1f2
1941-02-01,0.114215574649279,r1i1p1f2
1941-03-01,0.6607162475120276,r1i1p1f2
1941-04-01,2.654224878642708,r1i1p1f2
1941-05-01,2.7533033746294677,r1i1p1f2
1941-06-01,0.5638810631353408,r1i1p1f2
1941-07-01,0.1190102721011499,r1i1p1f2
1941-08-01,1.530872838338837,r1i1p1f2
1941-09-01,2.5822039518970996,r1i1p1f2
1941-10-01,4.635439929552376,r1i1p1f2
1941-11-01,2.533264900557697,r1i1p1f2
1941-12-01,0.6673690164461732,r1i1p1f2
1942-01-01,0.6928013870492578,r1i1p1f2
1942-02-01,0.2385130661423318,r1i1p1f2
1942-03-01,2.6071131345815957,r1i1p1f2
1942-04-01,4.540444782469422,r1i1p1f2
1942-05-01,2.9062980436719954,r1i1p1f2
1942-06-01,0.04511636325332802,r1i1p1f2
1942-07-01,0.05572705213126028,r1i1p1f2
1942-08-01,2.0868803083430976,r1i1p1f2
1942-09-01,3.7467965274117887,r1i1p1f2
1942-10-01,3.3132389187812805,r1i1p1f2
1942-11-01,2.9707216657698154,r1i1p1f2
1942-12-01,0.5871933753951453,r1i1p1f2
1943-01-01,0.18227364562335424,r1i1p1f2
1943-02-01,0.6101178150856867,r1i1p1f2
1943-03-01,0.5611603366560303,r1i1p1f2
1943-04-01,0.5823211977258325,r1i1p1f2
1943-05-01,2.2370267543010414,r1i1p1f2
1943-06-01,1.009005305240862,r1i1p1f2
1943-07-01,1.1727370350854471,r1i1p1f2
1943-08-01,0.8636492741061375,r1i1p1f2
1943-09-01,3.308278613258153,r1i1p1f2
1943-10-01,6.781100062653422,r1i1p1f2
1943-11-01,6.506144930608571,r1i1p1f2
1943-12-01,0.7829965325072408,r1i1p1f2
1944-01-01,0.11271513212705031,r1i1p1f2
1944-02-01,0.032208790617005434,r1i1p1f2
1944-03-01,0.7097598892869428,r1i1p1f2
1944-04-01,2.147789188893512,r1i1p1f2
1944-05-01,0.4297834340832196,r1i1p1f2
1944-06-01,0.2189496452047024,r1i1p1f2
1944-07-01,0.5657124173012562,r1i1p1f2
1944-08-01,0.7193411118350923,r1i1p1f2
1944-09-01,3.7307196180336177,r1i1p1f2
1944-10-01,4.913956322707236,r1i1p1f2
1944-11-01,5.83743501920253,r1i1p1f2
1944-12-01,0.9440254129003733,r1i1p1f2
1945-01-01,0.053783961629960686,r1i1p1f2
1945-02-01,0.20746711234096438,r1i1p1f2
1945-03-01,2.150581148453057,r1i1p1f2
1945-04-01,1.0534892440773547,r1i1p1f2
1945-05-01,1.729052304290235,r1i1p1f2
1945-06-01,0.18191696944995783,r1i1p1f2
1945-07-01,0.06282227750489255,r1i1p1f2
1945-08-01,0.40319632535101846,r1i1p1f2
1945-09-01,2.933463267982006,r1i1p1f2
1945-10-01,4.621718544512987,r1i1p1f2
1945-11-01,4.136640834622085,r1i1p1f2
1945-12-01,0.41480684594716877,r1i1p1f2
1946-01-01,0.01059888954841881,r1i1p1f2
1946-02-01,0.7163217407651246,r1i1p1f2
1946-03-01,2.1945333341136575,r1i1p1f2
1946-04-01,2.0803655264899135,r1i1p1f2
1946-05-01,3.420007601380348,r1i1p1f2
1946-06-01,0.5466699250973761,r1i1p1f2
1946-07-01,0.29591600614367053,r1i1p1f2
1946-08-01,1.7894816875923425,r1i1p1f2
1946-09-01,2.9480766970664263,r1i1p1f2
1946-10-01,3.6821638816036284,r1i1p1f2
1946-11-01,4.402739019133151,r1i1p1f2
1946-12-01,0.5594819391262718,r1i1p1f2
1947-01-01,0.048943073670670856,r1i1p1f2
1947-02-01,0.010853063804461272,r1i1p1f2
1947-03-01,3.9116477128118277,r1i1p1f2
1947-04-01,2.890737564302981,r1i1p1f2
1947-05-01,5.487858108244836,r1i1p1f2
1947-06-01,0.7311148045118898,r1i1p1f2
1947-07-01,0.13776013111055363,r1i1p1f2
1947-08-01,1.1363962985342368,r1i1p1f2
1947-09-01,3.496038482990116,r1i1p1f2
1947-10-01,4.625308408867568,r1i1p1f2
1947-11-01,5.160232458729297,r1i1p1f2
1947-12-01,0.7286619977094233,r1i1p1f2
1948-01-01,0.021159851803531637,r1i1p1f2
1948-02-01,0.49052352405851707,r1i1p1f2
1948-03-01,0.4198903261567466,r1i1p1f2
1948-04-01,0.3680748020997271,r1i1p1f2
1948-05-01,3.187155502382666,r1i1p1f2
1948-06-01,0.12679328174272086,r1i1p1f2
1948-07-01,0.006647979216722888,r1i1p1f2
1948-08-01,0.295265085878782,r1i1p1f2
1948-09-01,1.9252708763815463,r1i1p1f2
1948-10-01,5.448962724767625,r1i1p1f2
1948-11-01,3.8681918405927718,r1i1p1f2
1948-12-01,1.7361276783049107,r1i1p1f2
1949-01-01,0.05997627431497676,r1i1p1f2
1949-02-01,2.1480613911990076,r1i1p1f2
1949-03-01,4.586547240614891,r1i1p1f2
1949-04-01,3.071497182827443,r1i1p1f2
